Material,Thickness (mm),Precut dimensions (diameter/side length) mm,Precut Shape (circle/square/etc),Total Strain/Elongation (%),UTS (MPa),YS (MPa),Strength Coefficient (k in MPa),Strain hardening coefficient (n),Anisotropic (R Value),Is lubricant used?,Feed rate (mm/min),Tool speed (rpm),Step depth (mm),No of stages,HER,Flange Height (mm),Roughness (µm),"Minimum thickness (after final stage, mm)",Final angle after the final stage (degrees),confidence_score
AA1050-H111,1.0,119.90034868266467,circle,9.985631180731893,120.8906990909996,119.75792925157532,140.00169410453486,0.03987071440408613,0.84,1,1000.0,,0.19947754582511254,6.0,1.2803229315906681,,,0.6999999866829003,89.98882381877804,0.5
AA1050-H111,1.0,116.59461800024732,circle,9.97193094038936,120.871338781906,119.80339068493365,140.00728305685405,0.040090629354886095,0.8400000000000001,1,1000.0,,0.19978123355345823,6.0,1.3283240722665661,,,0.6999999571386931,90.02005032037289,0.5
AA1050-H111,1.0,98.99370378474937,circle,7.683654567422931,119.06646213480553,108.14783636338211,137.79350263711132,0.049245441051946164,0.84,0,1000.0,,0.2940449770053405,4.0,1.561870603662535,13.43,,0.8401137550801266,86.55779196535774,0.5
AA1050-H111,1.0,134.07754213727665,square,7.765314818301989,120.62580148904644,119.85436010375483,140.00514310763603,0.0399840871905353,0.8399999999999999,1,1000.0,,0.2001820386628626,6.0,,,,0.6999999078242356,89.97059663813504,0.5
AA1050-H111,1.0,117.29055967439415,circle,10.011274186856022,120.91832987777317,120.03968728065364,140.00563711476795,0.04000073075819469,0.8399999999999999,1,1000.0,,0.20023874742718495,6.0,1.3304102807653224,,,0.6999999507241291,90.02149838157018,0.5
AA1050-H111,1.0,123.50978173143601,circle,8.573582504108657,120.7017442012671,119.9513463635922,140.01961391844472,0.039932445726744065,0.84,1,1000.0,,0.19952303624565154,6.0,1.3206491043960273,,,0.6999986009764834,90.1145516080051,0.5
AA1050-H111,1.0,114.60993306256793,circle,9.990916723550933,120.90918361303041,119.91925662919832,140.00804858640575,0.040002887455419175,0.8399999999999999,1,1000.0,,0.19869229110406872,6.0,1.320865242800306,,,0.6999999813555579,90.01322401421751,0.5
AA1050-H111,1.0,140.1653025000542,square,6.789110427258965,120.49451781446196,119.97343725500531,139.98547861984747,0.04010948026160258,0.84,1,1000.0,,0.2017416946225842,6.0,,,,0.699999985228494,90.01177066496531,0.5
AA1050-H111,1.0,82.99254780296617,circle,9.988911021655865,120.90665315178042,119.95341827634927,139.9920900950528,0.0400167567067095,0.84,1,1000.0,,0.20000208903206598,4.0,1.3184292890649665,,,0.6999999948884088,90.00692415313767,0.5
AA1050-H111,1.0,114.83914406785551,circle,9.952941235662095,120.9060962988312,119.89131867416253,140.03371752474746,0.040172698231190296,0.84,1,1000.0,,0.2002566014731061,6.0,1.3208857802026321,,,0.6999997881557506,89.95542442430475,0.5
AA1050-H111,1.0,76.5210868773513,circle,5.769432933523825,117.54406385974143,98.21063628247195,135.96613624917586,0.05705305596571448,0.84,0,1000.0,,0.3698406186662229,3.0,1.4550280655514987,13.43,,0.6558626310211544,83.61443791869667,0.5
AA1050-H111,1.0,87.76685130277069,circle,6.503317980861238,118.1084658875488,101.84031503963566,136.6473759028958,0.05426592243473361,0.84,0,1000.0,,0.3390947208638179,4.0,1.5614208915478014,13.43,,0.8395913368061491,84.71708639411385,0.5
AA1050-H111,1.0,99.66798565320157,circle,4.935246387541431,118.08670480887426,103.27171349806963,136.88648798549582,0.05320950336560388,0.84,1,1000.0,,0.3327673074883233,4.0,1.555780977665561,13.43,,0.5892949036045136,85.05247730116835,0.5
AA1050-H111,1.0,120.66018356729444,circle,10.00621451210325,120.89997985777558,119.85624043305721,140.02435369500128,0.03993057690731904,0.84,1,1000.0,,0.20020220981731965,6.0,1.2649279444277812,,,0.6999997204104329,90.051209331386,0.5
AA1050-H111,1.0,120.628950930606,circle,8.046410510893153,120.63630877935815,119.99981820696779,139.966936611072,0.04014921753552983,0.84,1,1000.0,,0.19957493811609664,6.0,1.3400397618598032,,,0.6999999927150257,90.00826613744074,0.5
AA1050-H111,1.0,126.28831005417415,square,8.695044443136991,120.7688014939148,119.8715921300814,140.01599718337494,0.03988550358601774,0.84,1,1000.0,0.0,0.1991829420715155,6.0,1.2974685825571028,,,,89.97292149534154,0.5
AA1050-H111,1.0,100.51378534206091,circle,8.190326333898781,120.68351961797943,119.85530603861166,139.99347145940513,0.04000316433324184,0.84,1,1000.0,,0.1993716085985383,4.0,1.0,,,0.6999999307728696,89.97451839502928,0.5
AA1050-H111,1.0,91.46410943936563,circle,10.02902663815302,120.87654186137215,120.10051047878845,140.02717707306743,0.040235159010099726,0.84,1,1000.0,,0.199350183379192,4.0,,,,0.6999999618184224,90.0189241136103,0.5
