Material,Thickness (mm),Precut dimensions (diameter/side length) mm,Precut Shape (circle/square/etc),Total Strain/Elongation (%),UTS (MPa),YS (MPa),Strength Coefficient (k in MPa),Strain hardening coefficient (n),Anisotropic (R Value),Is lubricant used?,Feed rate (mm/min),Tool speed (rpm),Step depth (mm),No of stages,HER,Flange Height (mm),Roughness (µm),"Minimum thickness (after final stage, mm)",Final angle after the final stage (degrees),confidence_score
AA1050-H111,1.0,119.33984891673745,circle,9.971262361463786,120.88139818199919,119.61585850315062,140.00338820906973,0.03974142880817226,0.84,1,1000.0,,0.1989550916502251,6.0,1.2859476770123648,,,0.6999999467316019,89.97764763755609,0.4
AA1050-H111,1.0,116.97854676972489,circle,9.94386188077872,120.84267756381199,119.70678136986729,140.0145661137081,0.0401812587097722,0.8400000000000001,1,1000.0,,0.19956246710691644,6.0,1.326648144533132,,,0.6999998285547782,90.04010064074578,0.4
AA1050-H111,1.0,105.74835916926489,circle,8.385183633694561,119.6229188391691,111.7888580900193,138.44284624293184,0.04633836734342774,0.8400000000000001,0,1000.0,,0.26656480640603525,5.0,1.5637412073250698,13.43,,0.8402275101602533,87.6646752893827,0.4
AA1050-H111,1.0,135.86231236021368,square,7.432570169545392,120.58934554471051,119.80872020750965,140.0102862152721,0.03996817438107059,0.84,1,1000.0,,0.2003640773257252,6.0,,,,0.6999996312969669,89.94119327627008,0.4
AA1050-H111,1.0,118.28817747270702,circle,10.022548373712047,120.93665975554633,120.17937456130728,140.01127422953593,0.04000146151638938,0.84,1,1000.0,,0.2004774948543699,6.0,1.330820561530645,,,0.6999998028965236,90.04299676314038,0.4
AA1050-H111,1.0,122.40093876798711,circle,8.649909802135651,120.691331501774,120.00269272718437,140.03922783688944,0.039864891453488135,0.84,1,1000.0,,0.19904607249130304,6.0,1.326298208792055,,,0.6999944039115259,90.22910321601022,0.4
AA1050-H111,1.0,113.92588503607058,circle,9.981833447101867,120.9183672260608,119.93851325839661,140.01609717281147,0.04000577491083836,0.84,1,1000.0,,0.19738458220813743,6.0,1.3267304856006124,,,0.6999999254222325,90.02644802843501,0.4
AA1050-H111,1.0,140.3306050001084,square,6.778220854517931,120.48903562892393,120.04687451001062,139.97095723969494,0.04021896052320516,0.8400000000000001,1,1000.0,,0.20348338924516843,6.0,,,,0.6999999409139767,90.02354132993061,0.4
AA1050-H111,1.0,83.70585652210225,circle,9.977822043311727,120.91330630356083,120.00683655269853,139.98418019010558,0.040033513413418986,0.84,1,1000.0,,0.20000417806413193,4.0,1.3218585781299332,,,0.6999999795536356,90.01384830627535,0.4
AA1050-H111,1.0,114.50519273986207,circle,9.90588247132419,120.9121925976624,119.88263734832508,140.06743504949492,0.0403453964623806,0.8399999999999999,1,1000.0,,0.20051320294621217,6.0,1.3117715604052642,,,0.6999991526231308,89.9108488486095,0.4
AA1050-H111,1.0,74.64689891884242,circle,5.520918366602432,117.34169949765376,96.83241283112939,135.7005235214203,0.05807100119496672,0.8399999999999999,0,1000.0,,0.37933012996782367,3.0,1.4641027267552225,13.43,,0.6695611932757606,83.23135228974236,0.4
AA1050-H111,1.0,89.01878564763024,circle,6.625141154167008,118.18259360535569,102.23743508771321,136.7189748402525,0.05396068302069727,0.84,0,1000.0,,0.33247782323993647,4.0,1.5628417830956027,13.43,,0.8391826736122981,84.88864437361727,0.4
AA1050-H111,1.0,101.69631141087207,circle,5.070842168905008,118.26209706857716,104.52890392913724,137.09120261250843,0.05229889336305144,0.84,1,1000.0,,0.3243334812950834,4.0,1.551561955331122,13.43,,0.5767881066866827,85.39058370648323,0.4
